iter	Passed	Remaining
0	3	491
1	5	389
2	6	341
3	7	287
4	9	270
5	10	260
6	14	289
7	16	284
8	17	281
9	19	266
10	20	255
11	21	245
12	22	240
13	24	242
14	26	239
15	28	238
16	29	234
17	31	227
18	32	222
19	34	221
20	35	220
21	37	218
22	39	219
23	41	218
24	42	213
25	43	208
26	45	205
27	46	201
28	47	199
29	50	200
30	51	198
31	53	195
32	54	193
33	55	190
34	57	189
35	59	188
36	61	186
37	62	184
38	64	182
39	65	180
40	66	178
41	67	174
42	69	172
43	70	169
44	72	170
45	74	168
46	76	167
47	77	165
48	79	163
49	80	161
50	82	160
51	85	161
52	87	159
53	88	157
54	90	156
55	92	154
56	93	153
57	95	151
58	96	149
59	98	148
60	100	147
61	102	145
62	104	143
63	105	141
64	106	138
65	107	136
66	109	135
67	111	134
68	113	133
69	114	131
70	115	129
71	117	127
72	119	125
73	120	123
74	121	121
75	123	120
76	125	119
77	127	117
78	129	116
79	131	115
80	132	113
81	134	111
82	135	109
83	137	107
84	139	106
85	141	105
86	142	103
87	144	101
88	146	100
89	148	98
90	150	97
91	152	95
92	155	95
93	157	93
94	158	91
95	160	90
96	162	88
97	164	87
98	167	86
99	168	84
100	169	82
101	171	80
102	173	79
103	175	77
104	176	75
105	178	73
106	179	72
107	181	70
108	182	68
109	185	67
110	188	66
111	189	64
112	191	62
113	193	61
114	194	59
115	196	57
116	197	55
117	199	54
118	201	52
119	202	50
120	204	49
121	206	47
122	207	45
123	209	43
124	210	42
125	212	40
126	213	38
127	216	37
128	218	35
129	219	33
130	220	31
131	222	30
132	223	28
133	226	27
134	228	25
135	229	23
136	231	21
137	232	20
138	234	18
139	235	16
140	236	15
141	238	13
142	239	11
143	242	10
144	244	8
145	245	6
146	246	5
147	248	3
148	250	1
149	252	0
